Title,Subtitle,DateTime
PROHIBITION ON SEABED MINING LEGISLATION AMENDMENT BILL,First Reading,2023-05-10 15:57:58
NEW PLYMOUTH DISTRICT COUNCIL (PERPETUAL INVESTMENT FUND) BILL,Second Reading,2023-05-10 17:05:25
ANNIE OXBOROUGH BIRTH PARENTS REGISTRATION BILL,First Reading,2023-05-10 19:54:50
EMPLOYMENT RELATIONS (EXTENDED TIME FOR PERSONAL GRIEVANCE FOR SEXUAL HARASSMENT) AMENDMENT BILL,Third Reading,2023-05-10 20:40:27
SPEAKER'S STATEMENTS,Dr Elizabeth Kerekere,2023-05-09 14:01:16
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 2 to the Prime Minister, 8 March",2023-05-09 14:02:14
MOTIONS,His Majesty King Charles III—Coronation,2023-05-09 14:02:48
PERSONAL EXPLANATIONS,Leave Not Put,2023-05-09 14:11:18
MOTIONS,His Majesty King Charles III—Coronation,2023-05-09 14:11:39
PERSONAL EXPLANATIONS,Hon Meka Whaitiri,2023-05-09 14:18:27
MINISTERIAL STATEMENTS,"Emergency Management—Flooding in Auckland, 9 May 2023",2023-05-09 14:22:13
URGENT DEBATES DECLINED,Severe Weather Event—Northern Aotearoa New Zealand,2023-05-09 15:30:47
ANNUAL REVIEW DEBATE,In Committee,2023-05-09 15:32:18
OFFICES OF PARLIAMENT,Address to Governor-General,2023-05-09 19:36:44
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 8 to Minister,2023-05-09 19:57:14
SOCIAL WORKERS REGISTRATION LEGISLATION AMENDMENT BILL,First Reading,2023-05-09 19:57:54
WORKER PROTECTION (MIGRANT AND OTHER EMPLOYEES) BILL,Second Reading,2023-05-09 21:13:05
SPEAKER'S RULINGS,Speaker's Role under Electoral Act 1993,2023-05-04 14:01:06
SPECIAL DEBATES,Local Issues,2023-05-04 15:16:26
COUNTER-TERRORISM ACTS (DESIGNATIONS AND CONTROL ORDERS) AMENDMENT BILL,Third Reading,2023-05-04 16:47:37
VISITORS,Japan—National Diet,2023-05-03 14:01:24
SPEAKER'S STATEMENTS,Hon Meka Whaitiri—Independent Member,2023-05-03 14:01:54
APPOINTMENTS,,2023-05-03 16:21:34
ANNUAL REVIEW DEBATE,In Committee,2023-05-03 16:22:58
COUNTER-TERRORISM ACTS (DESIGNATIONS AND CONTROL ORDERS) AMENDMENT BILL,Third Reading,2023-05-03 21:11:26
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 10 to Minister, 22 February",2023-05-02 14:01:13
URGENT DEBATES DECLINED,Immigration New Zealand—Dawn Raids,2023-05-02 14:56:03
MEMBER VACANCY,Mt Albert Electoral District—Rt Hon Jacinda Ardern,2023-05-02 14:57:20
ANNUAL REVIEW DEBATE,In Committee,2023-05-02 14:58:55
SELF-CONTAINED MOTOR VEHICLES LEGISLATION BILL,Second Reading,2023-05-02 16:31:45
CUSTOMS AND EXCISE (ARRIVAL INFORMATION) AMENDMENT BILL,Second Reading,2023-05-02 17:14:47
FORESTS (LEGAL HARVEST ASSURANCE) AMENDMENT BILL,In Committee,2023-05-02 19:12:29
COUNTER-TERRORISM ACTS (DESIGNATIONS AND CONTROL ORDERS) AMENDMENT BILL,In Committee,2023-05-02 19:48:30
FAMILY COURT (FAMILY COURT ASSOCIATES) LEGISLATION BILL,In Committee,2023-05-02 20:02:41
GROCERY INDUSTRY COMPETITION BILL,Second Reading,2023-05-02 20:50:03
VISITORS,Australia—Deputy Prime Minister,2023-04-06 14:00:56
VOTING,Correction—Sale and Supply of Alcohol (Exemption for Race Meetings) Amendment Bill,2023-04-06 14:03:19
SEVERE WEATHER EMERGENCY RECOVERY LEGISLATION BILL,Second Reading,2023-04-06 14:48:42
VOTING,Correction—Sale and Supply of Alcohol (Harm Minimisation) Amendment Bill,2023-04-06 15:45:36
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 3 to Minister, 4 April",2023-04-05 14:00:58
CRIMES (CHILD EXPLOITATION OFFENCES) AMENDMENT BILL,Third Reading,2023-04-05 15:51:00
EMPLOYMENT RELATIONS (EXTENDED TIME FOR PERSONAL GRIEVANCE FOR SEXUAL HARASSMENT) AMENDMENT BILL,Recommittal,2023-04-05 16:31:42
SALE AND SUPPLY OF ALCOHOL (EXEMPTION FOR RACE MEETINGS) AMENDMENT BILL,In Committee,2023-04-05 16:49:44
INCREASED PENALTIES FOR BREACH OF BIOSECURITY BILL,Second Reading,2023-04-05 17:21:00
INCREASED PENALTIES FOR BREACH OF BIOSECURITY BILL,Second Reading,2023-04-05 19:00:21
SALE AND SUPPLY OF ALCOHOL (HARM MINIMISATION) AMENDMENT BILL,First Reading,2023-04-05 20:17:09
HOUSING INFRASTRUCTURE (GST-SHARING) BILL,First Reading,2023-04-05 21:28:42
APPOINTMENTS,Independent Police Conduct Authority,2023-04-04 14:58:51
ANNUAL REVIEW DEBATE,In Committee,2023-04-04 15:21:15
INTEGRITY SPORT AND RECREATION BILL,First Reading,2023-04-04 16:25:27
COUNTER-TERRORISM ACTS (DESIGNATIONS AND CONTROL ORDERS) AMENDMENT BILL,Second Reading,2023-04-04 17:44:05
LOCAL GOVERNMENT ELECTORAL LEGISLATION BILL,Second Reading,2023-04-04 19:26:06
FAMILY COURT (FAMILY COURT ASSOCIATES) LEGISLATION BILL,Second Reading,2023-04-04 20:41:47
SELF-CONTAINED MOTOR VEHICLES LEGISLATION BILL,Second Reading,2023-04-04 21:38:09
URGENT DEBATES,Hon Stuart Nash—Dismissal as Minister,2023-03-30 14:53:56
COUNTER-TERRORISM ACTS (DESIGNATIONS AND CONTROL ORDERS) AMENDMENT BILL,Second Reading,2023-03-30 16:20:26
CONSTRUCTION CONTRACTS (RETENTION MONEY) AMENDMENT BILL,Third Reading,2023-03-30 09:00:29
DIGITAL IDENTITY SERVICES TRUST FRAMEWORK BILL,In Committee,2023-03-30 09:10:42
VOTING,Correction—Digital Identity Services Trust Framework Bill,2023-03-30 09:17:19
DIGITAL IDENTITY SERVICES TRUST FRAMEWORK BILL,Third Reading,2023-03-30 09:18:35
ORGANIC PRODUCTS AND PRODUCTION BILL,In Committee,2023-03-30 09:40:58
FIRE AND EMERGENCY NEW ZEALAND (LEVY) AMENDMENT BILL,In Committee,2023-03-30 10:40:02
CRIMINAL ACTIVITY INTERVENTION LEGISLATION BILL,Third Reading,2023-03-29 09:00:13
EDUCATION AND TRAINING AMENDMENT BILL (NO 3),First Reading,2023-03-29 09:02:09
REGULATORY SYSTEMS (EDUCATION) AMENDMENT BILL,First Reading,2023-03-29 10:46:08
IMMIGRATION (MASS ARRIVALS) AMENDMENT BILL,First Reading,2023-03-29 11:32:24
VOTING,Correction—Regulatory Systems (Education) Amendment Bill,2023-03-29 11:43:08
IMMIGRATION (MASS ARRIVALS) AMENDMENT BILL,First Reading,2023-03-29 11:43:49
LAND TRANSPORT MANAGEMENT (REGULATION OF PUBLIC TRANSPORT) AMENDMENT BILL,First Reading,2023-03-29 12:41:45
VISITORS,Wales—Senedd Cymru,2023-03-29 14:00:18
POINTS OF ORDER,"Urgent Debate Declined—Hon Stuart Nash, Removal as Minister",2023-03-29 14:51:16
LAND TRANSPORT MANAGEMENT (REGULATION OF PUBLIC TRANSPORT) AMENDMENT BILL,First Reading,2023-03-29 14:51:56
RESALE RIGHT FOR VISUAL ARTISTS BILL,First Reading,2023-03-29 15:47:47
CHILD SUPPORT (PASS ON) ACTS AMENDMENT BILL,First Reading,2023-03-29 16:54:02
CORONERS AMENDMENT BILL,Second Reading,2023-03-29 19:05:05
FOREIGN AFFAIRS (CONSULAR LOANS) AMENDMENT BILL,Second Reading,2023-03-29 20:23:40
CIVIL AVIATION BILL,In Committee,2023-03-29 21:04:32
CIVIL AVIATION AMENDMENT BILL,Third Readings,2023-03-29 22:10:01
CONSTRUCTION CONTRACTS (RETENTION MONEY) AMENDMENT BILL,In Committee,2023-03-29 22:53:33
VOTING,Correction—Child Support (Pass On) Acts Amendment Bill,2023-03-29 23:35:19
VISITORS,Commonwealth Parliamentary Association—Secretary-General,2023-03-28 14:01:02
"TAXATION (ANNUAL RATES FOR 2022-23, PLATFORM ECONOMY, AND REMEDIAL MATTERS) BILL (NO 2)",Third Reading,2023-03-28 15:09:03
CRIMINAL PROCEEDS (RECOVERY) AMENDMENT BILL,Third Reading,2023-03-28 16:58:55
SEVERE WEATHER EMERGENCY RECOVERY LEGISLATION BILL,First Reading,2023-03-28 19:26:05
APPROPRIATION (2021/22 CONFIRMATION AND VALIDATION) BILL,First Reading,2023-03-28 20:55:41
CRIMINAL ACTIVITY INTERVENTION LEGISLATION BILL,In Committee,2023-03-28 20:58:54
VISITORS,"Ireland, Republic of—Minister of Agriculture",2023-03-16 14:04:38
SEVERE WEATHER EMERGENCY LEGISLATION BILL,Second Reading,2023-03-16 14:47:01
POINTS OF ORDER,Standing Order 267—Relating to Severe Weather Emergency Legislation Bill,2023-03-15 14:47:38
URGENT DEBATES DECLINED,Ministerial Resignation—Minister of Police,2023-03-15 14:53:45
HAWKE'S BAY AGRICULTURAL AND PASTORAL SOCIETY EMPOWERING BILL,Second Reading,2023-03-15 19:00:32
ST PETER'S PARISH ENDOWMENT FUND TRUST BILL,First Reading,2023-03-15 20:38:52
CRIMES (CHILD EXPLOITATION OFFENCES) AMENDMENT BILL,Third Reading,2023-03-15 21:24:23
"TAXATION (ANNUAL RATES FOR 2022-23, PLATFORM ECONOMY, AND REMEDIAL MATTERS) BILL (NO 2)",In Committee,2023-03-14 14:58:52
CRIMINAL PROCEEDS (RECOVERY) AMENDMENT BILL,In Committee,2023-03-14 17:09:01
CRIMINAL ACTIVITY INTERVENTION LEGISLATION BILL,In Committee,2023-03-14 19:04:17
VOTING,Correction—Criminal Proceeds (Recovery) Amendment Bill,2023-03-14 19:26:03
CRIMINAL ACTIVITY INTERVENTION LEGISLATION BILL,In Committee,2023-03-14 19:26:26
SEVERE WEATHER EMERGENCY LEGISLATION BILL,First Reading,2023-03-14 19:34:28
CRIMINAL ACTIVITY INTERVENTION LEGISLATION BILL,In Committee,2023-03-14 21:33:20
